id,date,weight,weight_avg,cal
1,5/15/2015,180,182.2,2900
2,5/16/2015,181,181.93,2430
3,5/17/2015,180,181.79,3030
4,5/18/2015,181,181.64,2680
5,5/19/2015,181,181.4,2925
6,5/20/2015,182,181.33,2825
7,5/21/2015,182,181.46,2480
8,5/22/2015,181,181.66,2680
9,5/23/2015,180,181.83,2700
10,5/24/2015,182,181.7,2575
11,5/25/2015,180,181.87,2600
12,5/26/2015,179,181.7,2640
13,5/27/2015,180,181.47,3035
14,5/28/2015,180,181.19,2800
15,5/29/2015,180,180.84,2835
16,5/30/2015,180,180.7,2675
17,5/31/2015,180,180.61,2465
18,6/1/2015,179,180.37,2790
19,6/2/2015,180,180.2,2615
20,6/3/2015,181,180.31,2865
21,6/4/2015,179,180.44,2725
22,6/5/2015,180,180.37,2790
23,6/6/2015,179,180.24,2690
24,6/7/2015,180,180.19,2690
25,6/8/2015,179,180.14,2660
26,6/9/2015,179,180.21,2625
27,6/10/2015,179,180.03,2705
28,6/11/2015,179,179.74,2825
29,6/12/2015,179,179.71,2400
30,6/13/2015,179,179.67,2670
31,6/14/2015,180,179.69,2550
32,6/15/2015,179,179.74,3000
33,6/16/2015,179,179.64,2510
34,6/17/2015,180,179.67,2415
35,6/18/2015,179,179.74,2810
36,6/19/2015,179,179.67,2705
37,6/20/2015,177,179.61,2690
38,6/21/2015,178,179.31,2700
39,6/22/2015,178,179,3090
40,6/23/2015,177,178.9,2910
41,6/24/2015,177,178.53,2840
42,6/25/2015,179,178.17,2725
43,6/26/2015,178,178.21,2935
44,6/27/2015,177,178.07,2660
45,6/28/2015,178,178,2640
46,6/29/2015,177,178.01,2930
47,6/30/2015,177,177.89,2665
48,7/1/2015,177,177.97,2620
49,7/2/2015,177,177.91,2940
50,7/3/2015,177,177.63,2845
51,7/4/2015,177,177.47,2670
52,7/5/2015,177,177.5,2750
53,7/6/2015,176,177.39,3060
54,7/7/2015,177,177.29,2965
55,7/8/2015,177,177.27,2335
56,7/9/2015,178,177.27,3245
57,7/10/2015,178,177.37,2540
58,7/11/2015,178,177.54,2575
59,7/12/2015,176,177.61,2620
60,7/13/2015,177,177.49,3025
61,7/14/2015,177,177.57,3170
62,7/15/2015,177,177.51,2625
63,7/16/2015,176,177.61,2870
64,7/17/2015,177,177.39,2840
65,7/18/2015,177,177.3,2965
66,7/19/2015,177,177.23,2660
67,7/20/2015,176,177.3,2750
68,7/21/2015,175,177.11,2830
69,7/22/2015,175,176.91,3130
70,7/23/2015,175,176.64,3915
71,7/24/2015,177,176.44,3920
72,7/25/2015,176,176.37,3640
73,7/26/2015,178,176.26,3695
74,7/27/2015,178,176.46,2910
75,7/28/2015,177,176.76,3630
76,7/29/2015,177,177.07,2725
77,7/30/2015,177,177.27,3265
78,7/31/2015,176,177.57,4560
79,8/1/2015,177,177.43,3720
80,8/2/2015,177,177.51,3950
81,8/3/2015,178,177.43,3670
82,8/4/2015,179,177.46,3320
83,8/5/2015,179,177.66,3620
84,8/6/2015,179,177.91,3705
85,8/7/2015,178,178.21,3405
86,8/8/2015,179,178.54,2890
87,8/9/2015,178,178.79,3300
88,8/10/2015,179,178.8,3395
89,8/11/2015,178,178.96,3265
90,8/12/2015,179,178.86,3220
91,8/13/2015,179,178.86,3660
92,8/14/2015,178,178.86,3655
93,8/15/2015,179,178.88,2280
94,8/16/2015,178,178.89,3470
95,8/17/2015,179,178.92,3405
96,8/18/2015,178,178.98,3405
97,8/19/2015,179,179.01,3640
98,8/20/2015,178,179.09,3680
99,8/21/2015,179,178.95,3165
100,8/22/2015,178,178.99,3075
101,8/23/2015,178,178.83,3610
102,8/24/2015,181,178.8,3410
103,8/25/2015,180,178.96,3130
104,8/26/2015,179,179.2,3590
105,8/27/2015,178,179.11,3750
106,8/28/2015,181,179.16,3530
107,8/29/2015,181,179.49,2985
108,8/30/2015,179,180,3700
109,8/31/2015,182,180.27,3760
110,9/1/2015,180,180.41,2970
111,9/2/2015,179,180.4,3600
112,9/3/2015,180,180.43,3535
113,9/4/2015,182,180.69,2885
114,9/5/2015,179,180.79,3065
115,9/6/2015,179,180.47,3960
116,9/7/2015,180,180.34,3430
117,9/8/2015,181,180.11,3555
118,9/9/2015,180,180.3,4030
119,9/10/2015,180,180.5,4040
120,9/11/2015,180,180.46,3715
121,9/12/2015,180,180.24,3040
122,9/13/2015,180,180.33,3830
123,9/14/2015,181,180.56,3850
124,9/15/2015,181,180.67,3360
125,9/16/2015,180,180.6,3790
126,9/17/2015,181,180.57,3835
127,9/18/2015,179,180.71,4115
128,9/19/2015,181,180.6,3195
129,9/20/2015,181,180.87,4030
130,9/21/2015,181,181,4290
131,9/22/2015,183,181.1,4215
132,9/23/2015,183,181.37,3955
133,9/24/2015,181,181.8,3820
134,9/25/2015,182,181.89,3765
135,9/26/2015,180,182.3,3720
136,9/27/2015,181,182.1,4115
137,9/28/2015,184,182.04,3770
138,9/29/2015,183,182.43,3370
139,9/30/2015,183,182.49,3990
140,10/1/2015,182,182.49,3920
141,10/2/2015,183,182.67,3530
142,10/3/2015,182,182.73,3470
143,10/4/2015,181,183.04,4010
144,10/5/2015,183,183.14,3760
145,10/6/2015,183,182.94,3870
146,10/7/2015,184,182.91,4080
147,10/8/2015,184,183.09,3395
148,10/9/2015,183,183.33,3335
149,10/10/2015,183,183.36,3965
150,10/11/2015,182,183.46,3920
151,10/12/2015,185,183.53,3765
152,10/13/2015,185,183.81,3535
153,10/14/2015,185,184.1,3750
154,10/15/2015,185,184.21,3455
155,10/16/2015,185,184.29,3630
156,10/17/2015,181,184.61,3800
157,10/18/2015,182,184.37,4295
158,10/19/2015,184,184.43,3805
159,10/20/2015,185,184.34,3565
160,10/21/2015,185,184.36,3990
161,10/22/2015,186,184.34,3520
162,10/23/2015,185,184.54,3465
163,10/24/2015,183,184.5,3800
164,10/25/2015,184,184.8,3900
165,10/26/2015,185,185.06,3850
166,10/27/2015,185,185.16,3710
167,10/28/2015,185,185.11,3880
168,10/29/2015,185,185.06,4095
169,10/30/2015,185,184.96,3510
170,10/31/2015,186,185.01,3825
171,11/1/2015,185,185.39,3935
172,11/2/2015,186,185.59,3895
173,11/3/2015,185,185.79,3565
174,11/4/2015,185,185.86,3355
175,11/5/2015,186,185.99,3465
176,11/6/2015,186,186.04,3500
177,11/7/2015,186,186.1,3740
178,11/8/2015,186,186.07,3850
179,11/9/2015,186,186.16,4065
180,11/10/2015,186,186.17,3805
181,11/11/2015,186,186.3,3625
182,11/12/2015,187,186.34,3600
183,11/13/2015,185,186.51,3575
184,11/14/2015,186,186.49,3810
185,11/15/2015,186,186.5,3775
186,11/16/2015,187,186.49,3835
187,11/17/2015,188,186.59,3760
188,11/18/2015,188,186.9,3685
189,11/19/2015,189,187.23,3980
190,11/20/2015,188,187.5,3805
191,11/21/2015,187,187.83,3265
192,11/22/2015,186,188.01,4020
193,11/23/2015,188,188.09,4520
194,11/24/2015,188,188.21,3665
195,11/25/2015,187,188.11,3670
196,11/26/2015,189,187.94,3715
197,11/27/2015,188,188,3745
198,11/28/2015,189,188.11,3655
199,11/29/2015,188,188.39,3830
200,11/30/2015,189,188.56,4025
201,12/1/2015,189,188.69,3200
202,12/2/2015,190,188.87,3765
203,12/3/2015,190,189.26,3565
204,12/4/2015,190,189.31,3570
205,12/5/2015,190,189.57,3595
206,12/6/2015,189,189.67,3810
207,12/7/2015,190,189.81,3810
208,12/8/2015,189,190,3835
209,12/9/2015,190,190.09,3880
210,12/10/2015,189,190.1,3830
211,12/11/2015,190,189.99,3760
212,12/12/2015,191,189.96,3395
213,12/13/2015,191,190.09,3790
214,12/14/2015,192,190.4,3870
215,12/15/2015,191,190.61,3710
216,12/16/2015,192,190.86,3620
217,12/17/2015,190,191.13,3860
218,12/18/2015,191,191.31,3635
219,12/19/2015,191,191.46,3485
220,12/20/2015,189,191.49,3655
221,12/21/2015,190,191.27,3780
222,12/22/2015,191,190.99,3670
223,12/23/2015,191,190.96,3410
224,12/24/2015,190,190.87,3425
225,12/25/2015,189,190.9,3495
226,12/26/2015,191,190.67,3510
227,12/27/2015,189,190.76,3570
228,12/28/2015,191,190.66,3700
229,12/29/2015,191,190.8,3490
230,12/30/2015,191,190.8,3645
231,12/31/2015,189,190.79,3880
232,1/1/2016,190,190.57,3640
233,1/2/2016,191,190.69,3005
234,1/3/2016,189,190.67,3725
235,1/4/2016,192,190.67,3760
236,1/5/2016,192,190.9,3865
237,1/6/2016,192,191.01,3495
238,1/7/2016,192,191.14,3545
239,1/8/2016,192,191.64,3570
240,1/9/2016,192,191.93,2515
241,1/10/2016,191,192.06,3560
242,1/11/2016,191,192.39,3545
243,1/12/2016,191,192.21,3490
244,1/13/2016,191,192.14,3860
245,1/14/2016,191,192.04,3515
246,1/15/2016,191,191.9,3700
247,1/16/2016,194,191.66,2385
248,1/17/2016,190,191.86,3695
249,1/18/2016,190,191.77,3730
250,1/19/2016,191,191.69,3820
251,1/20/2016,190,191.67,3550
252,1/21/2016,191,191.46,3625
253,1/22/2016,191,191.34,3625
254,1/23/2016,191,191.46,3200
255,1/24/2016,192,191.1,4220
256,1/25/2016,191,191.3,3725
257,1/26/2016,192,191.36,3730
258,1/27/2016,193,191.49,3775
259,1/28/2016,193,191.99,3545
260,1/29/2016,191,192.4,3620
261,1/30/2016,193,192.29,3550
262,1/31/2016,194,192.51,3740
263,2/1/2016,195,192.81,3585
264,2/2/2016,194,193.43,2810
265,2/3/2016,191,193.73,3750
266,2/4/2016,192,193.47,3570
267,2/5/2016,193,193.21,3670
268,2/6/2016,193,193.6,3050
269,2/7/2016,192,193.66,3610
270,2/8/2016,194,193.39,4110
271,2/9/2016,196,193.2,3890
272,2/10/2016,193,193.44,3420
273,2/11/2016,192,193.69,3740
274,2/12/2016,190,193.7,4015
275,2/13/2016,194,193.29,2670
276,2/14/2016,193,193.37,3570
277,2/15/2016,191,193.5,3555
278,2/16/2016,193,193.13,3760
279,2/17/2016,192,192.66,3000
280,2/18/2016,193,192.5,3545
281,2/19/2016,194,192.67,3485
282,2/20/2016,192,193.2,2920
283,2/21/2016,191,192.94,3765
284,2/22/2016,193,192.74,4100
285,2/23/2016,193,192.93,3610
286,2/24/2016,194,193.04,4010
287,2/25/2016,195,193.3,3730
288,2/26/2016,193,193.59,3770
289,2/27/2016,194,193.4,3535
290,2/28/2016,193,193.64,3405
291,2/29/2016,192,193.91,3520
292,3/1/2016,193,193.86,3775
293,3/2/2016,194,193.87,3480
294,3/3/2016,194,193.97,3830
295,3/4/2016,194,193.77,3685
296,3/5/2016,196,193.93,3665
297,3/6/2016,194,194.21,3370
298,3/7/2016,194,194.26,3950
299,3/8/2016,194,194.51,3810
300,3/9/2016,193,194.59,4065
301,3/10/2016,195,194.46,3435
302,3/11/2016,194,194.63,4195
303,3/12/2016,195,194.67,3270
304,3/13/2016,194,194.53,3790
305,3/14/2016,194,194.57,4515
306,3/15/2016,195,194.63,3805
307,3/16/2016,196,194.71,4340
308,3/17/2016,195,195.01,4090
309,3/18/2016,195,195.11,3450
310,3/19/2016,194,195.21,3110
311,3/20/2016,194,195.11,4050
312,3/21/2016,197,195.14,3590
313,3/22/2016,195,195.5,3705
314,3/23/2016,197,195.6,3710
315,3/24/2016,197,195.74,3735
316,3/25/2016,196,195.91,4070
317,3/26/2016,199,196.11,3785
318,3/27/2016,195,196.81,3720
319,3/28/2016,197,197,3980
320,3/29/2016,197,196.96,3915
321,3/30/2016,197,197.26,3735
322,3/31/2016,197,197.3,3445
323,4/1/2016,197,197.29,3855
324,4/2/2016,198,197.44,3310
325,4/3/2016,196,197.34,3790
326,4/4/2016,197,197.46,3700
327,4/5/2016,197,197.53,4015
328,4/6/2016,196,197.43,3985
329,4/7/2016,197,197.36,3975
330,4/8/2016,199,197.37,3865
331,4/9/2016,199,197.54,4020
332,4/10/2016,199,197.73,3955
333,4/11/2016,200,198.07,3725
334,4/12/2016,198,198.43,3835
335,4/13/2016,200,198.67,4360
336,4/14/2016,199,199.17,4015
337,4/15/2016,199,199.5,3850
338,4/16/2016,200,199.56,3040
339,4/17/2016,199,199.63,3710
340,4/18/2016,198,199.71,3570
341,4/19/2016,198,199.46,3985
342,4/20/2016,198,199.41,4120
343,4/21/2016,198,199.16,4045
344,4/22/2016,199,199.01,3735
345,4/23/2016,199,199,3715
346,4/24/2016,199,198.91,4325
347,4/25/2016,199,198.86,4025
348,4/26/2016,199,199.03,4290
349,4/27/2016,201,199.2,3910
350,4/28/2016,200,199.67,3955
351,4/29/2016,200,200.03,3810
352,4/30/2016,201,200.23,3280
353,5/1/2016,198,200.43,3525
354,5/2/2016,201,200.34,3400
355,5/3/2016,199,200.63,3720
356,5/4/2016,199,200.63,3580
357,5/5/2016,200,200.36,4010
358,5/6/2016,200,200.23,2880
359,5/7/2016,198,200.13,2905
360,5/8/2016,198,199.74,3420
361,5/9/2016,201,199.64,3555
362,5/10/2016,198,199.63,3465
363,5/11/2016,198,199.5,3480
364,5/12/2016,198,199.34,3610
365,5/13/2016,199,199.19,3360
366,5/14/2016,199,199.04,3405
367,5/15/2016,200,199.16,3260
368,5/16/2016,199,199.44,3180
369,5/17/2016,197,199.24,3375
370,5/18/2016,195,199.09,3225
371,5/19/2016,197,198.66,3365
372,5/20/2016,198,198.4,3335
373,5/21/2016,196,198.34,3210
374,5/22/2016,197,197.97,2900
375,5/23/2016,197,197.67,3460
376,5/24/2016,196,197.26,3110
377,5/25/2016,195,197.09,3445
378,5/26/2016,196,197.06,2890
379,5/27/2016,196,196.93,3190
380,5/28/2016,196,196.57,2810
381,5/29/2016,194,196.53,3225
382,5/30/2016,196,196.09,3220
383,5/31/2016,196,196.06,3005
384,6/1/2016,196,196.09,2795
385,6/2/2016,195,196.14,2770
386,6/3/2016,194,195.99,3035
387,6/4/2016,195,195.74,3005
388,6/5/2016,194,195.57,2925
389,6/6/2016,194,195.54,2920
390,6/7/2016,194,195.26,2795
391,6/8/2016,193,194.93,3340
392,6/9/2016,194,194.51,3040
393,6/10/2016,194,194.37,3060
394,6/11/2016,192,194.33,3085
395,6/12/2016,193,194,3220
396,6/13/2016,193,193.8,3120
397,6/14/2016,193,193.6,2955
398,6/15/2016,193,193.43,3095
399,6/16/2016,192,193.41,2915
400,6/17/2016,192,193.21,2750
401,6/18/2016,192,193,2865
402,6/19/2016,191,192.91,2955
403,6/20/2016,193,192.66,2585
404,6/21/2016,191,192.61,2900
405,6/22/2016,190,192.3,2885
406,6/23/2016,192,192,2760
407,6/24/2016,191,191.93,2780
408,6/25/2016,191,191.79,2510
409,6/26/2016,191,191.6,2755
410,6/27/2016,190,191.6,2715
411,6/28/2016,189,191.29,2800
412,6/29/2016,189,191.11,2825
413,6/30/2016,189,190.91,2930
414,7/1/2016,188,190.5,2735
415,7/2/2016,188,190.11,3005
416,7/3/2016,189,189.81,2980
417,7/4/2016,187,189.59,3100
418,7/5/2016,187,189.04,3145
419,7/6/2016,186,188.64,3075
420,7/7/2016,186,188.27,2830
421,7/8/2016,186,187.84,3440
422,7/9/2016,186,187.47,3230
423,7/10/2016,186,187.19,2940
424,7/11/2016,186,186.74,3570
425,7/12/2016,187,186.67,3665
426,7/13/2016,187,186.74,3015
